slug,name_en,name_local,country,lang,rank,total,toilets,water,showers,laundry,parking,pharmacy,wifi,step_free,free_of_charge,with_hours,published
tokyo,Tokyo,東京,JP,ja,5,20972,2552,1591,345,229,5394,2248,2657,2317,1048,4301,yes
moscow,Moscow,Москва,RU,ru,14,18692,1534,144,17,19,3130,4244,2013,1161,3058,9243,yes
istanbul,Istanbul,İstanbul,TR,tr,1,15119,468,256,17,1,977,4097,1166,592,300,2866,yes
london,London,London,GB,,2,13232,904,604,16,111,1687,1002,1830,2061,1690,2521,yes
melbourne,Melbourne,Melbourne,AU,,21,12401,1665,2098,52,131,3334,700,443,1420,3411,1348,yes
sydney,Sydney,Sydney,AU,,20,12362,2040,2573,214,39,2557,567,329,1768,3173,1416,yes
berlin,Berlin,Berlin,DE,de,16,11994,839,414,113,63,2559,669,1617,4354,2878,4632,yes
saint-petersburg,Saint Petersburg,Санкт-Петербург,RU,ru,35,11537,703,207,2,3,2095,2067,1530,1114,2000,6823,yes
paris,Paris,Paris,FR,fr,4,8486,891,1147,17,435,249,879,1338,1942,967,2964,yes
rome,Rome,Roma,IT,it,9,8319,259,2109,29,29,1306,585,813,746,1176,998,yes
vienna,Vienna,Wien,AT,de,15,8263,623,1746,65,24,984,340,738,2221,1522,2921,yes
madrid,Madrid,Madrid,ES,es,13,8167,233,2061,37,80,653,1850,472,895,581,1106,yes
budapest,Budapest,Budapest,HU,hu,22,7842,546,1710,25,35,1527,438,833,1197,1558,2407,yes
warsaw,Warsaw,Warszawa,PL,pl,24,7488,407,184,14,32,1596,586,473,1889,1472,3044,yes
osaka,Osaka,大阪市,JP,ja,11,7416,409,77,14,105,3797,833,239,353,110,421,yes
seoul,Seoul,서울특별시,KR,ko,8,7269,746,244,8,67,1238,810,767,347,232,531,yes
taipei,Taipei,臺北市,TW,zh,18,7194,916,1272,5,26,808,345,681,598,387,3439,yes
antalya,Antalya,Antalya,TR,tr,29,7184,653,835,212,2,235,1063,754,207,591,1044,yes
singapore,Singapore,Singapore,SG,,6,7097,796,232,34,38,1788,164,353,1108,422,783,yes
hamburg,Hamburg,Hamburg,DE,de,32,7078,382,81,28,43,2378,356,650,2145,2132,2226,yes
